	2023-11-17 15:11:31	User entered correct number (5)
::1	2023-11-17 15:11:26	User entered correct number (5)
::1	2023-11-17 15:11:34	User entered incorrect number (123)
::1	2023-11-17 15:11:41	User entered incorrect number (gggg)
::1	2023-11-17 15:11:28	User entered incorrect number (gggg)
::1	2023-11-17 15:11:36	User entered incorrect number (asd)
::1	2023-11-17 15:11:46	User entered incorrect type
::1	2023-11-17 15:11:46	User entered incorrect number (asd)
::1	2023-11-17 15:11:47	User entered incorrect type
::1	2023-11-17 15:11:47	User entered incorrect number (asd)
::1	2023-11-17 15:11:53	User entered incorrect type
::1	2023-11-17 15:11:53	User entered incorrect number (asd)
